('HP:0000684', 'GO:0018394')
('HP:0005315', 'GO:0098798')
('HP:0005096', 'GO:0016020')
('HP:0000132', 'GO:0061630')
('HP:0006706', 'GO:0015643')
('HP:0000414', 'GO:0031624')
('HP:0008780', 'GO:1990226')
('HP:0003020', 'GO:0050431')
('HP:0002953', 'GO:0000902')
('HP:0000457', 'GO:0043320')
('HP:0006892', 'GO:0044675')
('HP:0010871', 'GO:0070851')
('HP:0100774', 'GO:0090203')
('HP:0005978', 'GO:0070378')
('HP:0000863', 'GO:0070461')
('HP:0009720', 'GO:0035948')
('HP:0000363', 'GO:1990303')
('HP:0011274', 'GO:0005840')
('HP:0002189', 'GO:0019972')
('HP:0012622', 'GO:0044431')
('HP:0002748', 'GO:0009340')
('HP:0002777', 'GO:0048096')
('HP:0000274', 'GO:0044798')
('HP:0002958', 'GO:0071532')
('HP:0002282', 'GO:0030662')
('HP:0002300', 'GO:0071804')
('HP:0002301', 'GO:0098826')
('HP:0000400', 'GO:0044286')
('HP:0002719', 'GO:0018350')
('HP:0002069', 'GO:0048662')
('HP:0001977', 'GO:0018444')
('HP:0007011', 'GO:0044614')
('HP:0100259', 'GO:0010318')
('HP:0012231', 'GO:0042826')
('HP:0004570', 'GO:1904713')
('HP:0001166', 'GO:0048812')
('HP:0002181', 'GO:0043043')
('HP:0012804', 'GO:0031014')
('HP:0002173', 'GO:0034744')
('HP:0001268', 'GO:0052836')
('HP:0000356', 'GO:0010180')
('HP:0003270', 'GO:0045931')
('HP:0000414', 'GO:0070129')
('HP:0002858', 'GO:0043686')
('HP:0008240', 'GO:0000776')
('HP:0000589', 'GO:0010936')
('HP:0004485', 'GO:0098780')
('HP:0010639', 'GO:0010997')
('HP:0200034', 'GO:0048179')
('HP:0000174', 'GO:0034341')
